factor,year,ic,rank_ic,count
ma_slope_20d,2019.0,-0.08274733742816544,-0.04431227257144509,244.0
ma_slope_20d,2020.0,-0.11177120780652293,-0.11461025221581606,243.0
ma_slope_20d,2021.0,0.030652231801622347,-0.019875021116948586,243.0
ma_slope_20d,2022.0,-0.022405513095454053,-0.04067372242903489,242.0
ma_slope_20d,2023.0,0.07701460953343799,0.10725681730334065,242.0
ma_slope_20d,2024.0,-0.14620256247439428,-0.23983797060211826,242.0
ma_slope_20d,2025.0,-0.01876300722444834,0.003756726061743448,243.0
ma_slope_20d,2026.0,-0.18985570100526242,-0.23787607826635807,97.0
ma_gap_60d,2018.0,-0.15601452819038034,-0.19799676176230196,184.0
ma_gap_60d,2019.0,-0.1245051560232328,-0.10635457583154694,244.0
ma_gap_60d,2020.0,-0.23054104516375698,-0.2147581126716745,243.0
ma_gap_60d,2021.0,-0.03529618206675545,-0.026266138784767693,243.0
ma_gap_60d,2022.0,-0.09110637624228261,-0.12201778038569189,242.0
ma_gap_60d,2023.0,-0.008484080514151194,0.016391332749939563,242.0
ma_gap_60d,2024.0,-0.14729816191254805,-0.18320981371827016,242.0
ma_gap_60d,2025.0,-0.06671616630267917,-0.10295955079859699,243.0
ma_gap_60d,2026.0,-0.2949071107720975,-0.2696849358300021,97.0
ma_slope_60d,2018.0,-0.47041871537853674,-0.40799722704389396,165.0
ma_slope_60d,2019.0,-0.20561080472643764,-0.1977225134133799,244.0
ma_slope_60d,2020.0,-0.20817033563131768,-0.19840983104768498,243.0
ma_slope_60d,2021.0,-0.06005360463603894,-0.09548122389652444,243.0
ma_slope_60d,2022.0,0.0012753840204990283,0.008235674147908526,242.0
ma_slope_60d,2023.0,0.048726451706166254,0.019501354972246462,242.0
ma_slope_60d,2024.0,-0.20442934867051227,-0.20721829282775253,242.0
ma_slope_60d,2025.0,-0.08144967430913018,-0.08189194478315193,243.0
ma_slope_60d,2026.0,-0.38091640246804653,-0.3907269093204292,97.0
ma_gap_120d,2018.0,-0.2938554974371058,-0.3594209284028324,124.0
ma_gap_120d,2019.0,-0.2661471493909246,-0.22883577231742724,244.0
ma_gap_120d,2020.0,-0.3023456942934559,-0.3004235098124815,243.0
ma_gap_120d,2021.0,-0.08231046258103626,-0.09733784274271108,243.0
ma_gap_120d,2022.0,-0.10906847170827264,-0.1307263506433631,242.0
ma_gap_120d,2023.0,0.004396718269024538,0.0038555638958002844,242.0
ma_gap_120d,2024.0,-0.17888879762732854,-0.20441097432495794,242.0
ma_gap_120d,2025.0,-0.08975437802252423,-0.09224301300804033,243.0
ma_gap_120d,2026.0,-0.3328229788598627,-0.29689143698716597,97.0
ma_slope_120d,2018.0,-0.23445802816267564,-0.15701845324486835,105.0
ma_slope_120d,2019.0,-0.3783355464150906,-0.29215683844879786,244.0
ma_slope_120d,2020.0,-0.22696509794047642,-0.2087918429200098,243.0
ma_slope_120d,2021.0,-0.21782989734061442,-0.27008953586201473,243.0
ma_slope_120d,2022.0,-0.18007813697667419,-0.22484664745446845,242.0
ma_slope_120d,2023.0,0.0005886040798830854,0.03313447988413411,242.0
ma_slope_120d,2024.0,-0.14216871542023612,-0.13012986017809894,242.0
ma_slope_120d,2025.0,-0.21700521480036222,-0.20359080120630046,243.0
ma_slope_120d,2026.0,-0.29005196129125216,-0.2791000420786871,97.0
