portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,strategy_name,kind,fast,slow,window,risk_filter,buy_hold_total_return,beats_buy_hold
strategy,2.212546074032762,0.15475081617256659,0.4270966116765733,0.36233210927403575,0.4428200929445983,0.3007131223613045,-0.5146127809701456,0.472910927456382,1.27096950425027,93.0,22.319148936170212,93.0,-0.16675690308608548,9.0,-0.72289179478444,-0.09892933580331986,ma_5_120_none,ma,5.0,120.0,,none,2.3114754098360817,False
strategy,2.094397746655157,0.14942857451792757,0.38352244594550067,0.3896214578772312,0.41366897322322066,0.2980142603512921,-0.5014141750860671,0.4451901565995526,1.4504803476356045,227.0,6.868421052631579,227.0,-0.16675690308608548,9.0,-0.799909793920992,-0.21707766318092458,ma_10_250_amount_liquidity,ma,10.0,250.0,,amount_liquidity,2.3114754098360817,False
strategy,2.17933659402826,0.15327239915894308,0.38345693896475536,0.3997121543105803,0.4192748968892305,0.29408208414922116,-0.5211891761525012,0.4501187648456057,1.430590108524628,197.0,7.545454545454546,197.0,-0.16675690308608548,9.0,-0.794389954218422,-0.1321388158078216,ma_20_120_amount_liquidity,ma,20.0,120.0,,amount_liquidity,2.3114754098360817,False
strategy,1.9108166704990075,0.14079421634396172,0.42040974165612616,0.3348976067712633,0.4041513128298756,0.27854862406707676,-0.5054565134382331,0.46102021174205965,1.3288485379878567,111.0,17.660714285714285,111.0,-0.16675690308608548,14.0,-0.7601645230411396,-0.4006587393370742,ma_10_180_close_gt_ma120,ma,10.0,180.0,,close_gt_ma120,2.3114754098360817,False
strategy,1.4342267672907187,0.11592126120594237,0.3623920426958239,0.3198780534572654,0.3157301144203981,0.27631716500893055,-0.4195224759279642,0.44640605296343,1.42443651363246,197.0,7.040404040404041,197.0,-0.16675690308608548,17.0,-0.861678888103925,-0.8772486425453629,ma_60_120_amount_liquidity,ma,60.0,120.0,,amount_liquidity,2.3114754098360817,False
strategy,2.2877679812406613,0.15805061215405702,0.3815673145973558,0.41421423195233054,0.43732608479733776,0.27141325235204095,-0.5823245946334814,0.4820574162679426,1.2567956607898543,61.0,26.193548387096776,61.0,-0.16675690308608548,8.0,-0.7898179081291361,-0.02370742859542041,ma_10_120_mdd60_gt_-25,ma,10.0,120.0,,mdd60_gt_-25,2.3114754098360817,False
strategy,1.867759130338154,0.13870013048007213,0.42321332038286785,0.32773101365192014,0.39414512142147595,0.27133913638344526,-0.5111689096115749,0.4683663833805477,1.2873887829725357,103.0,19.5,103.0,-0.16675690308608548,12.0,-0.7591422112195869,-0.4437162794979277,ma_5_120_close_gt_ma120,ma,5.0,120.0,,close_gt_ma120,2.3114754098360817,False
strategy,2.2481507559258698,0.15632105307032074,0.42558319251974247,0.3673102129451908,0.45106142956594325,0.2710844453311113,-0.5766507660717499,0.4787510841283608,1.2350913266177983,79.0,28.025,79.0,-0.16675690308608548,9.0,-0.7230176445461353,-0.06332465391021191,ma_30_180_none,ma,30.0,180.0,,none,2.3114754098360817,False
strategy,1.9969333582198185,0.14490224730199186,0.3724339637261108,0.38906829509392826,0.39645187247822705,0.2667740880592249,-0.543164624256247,0.48481012658227846,1.2392572035287677,57.0,26.482758620689655,57.0,-0.16675690308608548,10.0,-0.8188917221412104,-0.31454205161626314,ma_30_120_mdd60_gt_-25,ma,30.0,120.0,,mdd60_gt_-25,2.3114754098360817,False
strategy,1.6808142588346167,0.12927576283877973,0.4152025806287209,0.3113558751080588,0.3717567670692426,0.2667552029340685,-0.4846232104073773,0.46563407550822844,1.297410814022065,109.0,17.89090909090909,109.0,-0.16675690308608548,9.0,-0.7868129738721682,-0.630661151001465,ma_5_250_close_gt_ma120,ma,5.0,250.0,,close_gt_ma120,2.3114754098360817,False
strategy,1.6461078959744584,0.12746300520127507,0.3575713013249676,0.3564687790350218,0.348353915656074,0.2663998609278338,-0.4784649840181563,0.484375,1.2312805360789916,59.0,24.8,59.0,-0.16675690308608548,10.0,-0.8537777046994004,-0.6653675138616233,ma_60_120_mdd60_gt_-25,ma,60.0,120.0,,mdd60_gt_-25,2.3114754098360817,False
strategy,1.3758658828942059,0.11258758494253418,0.3706860457899705,0.30372760512902053,0.30865873867223165,0.2655663840954798,-0.4239526976503746,0.44575471698113206,1.4172241873971627,213.0,6.953271028037383,213.0,-0.16675690308608548,15.0,-0.8582585869459963,-0.9356095269418758,ma_30_180_amount_liquidity,ma,30.0,180.0,,amount_liquidity,2.3114754098360817,False
strategy,2.16912715643637,0.15281517519092103,0.42573930544843447,0.35894072554555334,0.4169922493267946,0.2620912951690491,-0.5830608570664474,0.48158640226628896,1.2292816357748426,80.0,25.65,80.0,-0.16675690308608548,9.0,-0.7290544190057209,-0.14234825339971158,ma_60_90_gap_risk,ma,60.0,90.0,,gap_risk,2.3114754098360817,False
