factor,horizon,observations,coverage_rate,missing_rate,pearson_ic,spearman_ic,rolling_rank_ic_mean,rolling_rank_ic_std,icir,prediction_score,stability_score,monotonicity_score,non_redundancy_score,low_turnover_score,explainability_score,factor_score,suitable_for_model,overfit_risk
macd_hist,5,2039,0.9975538160469667,0.0024461839530333096,-0.017923250955446585,0.016198669620305327,-0.006832331185024978,0.09194768469135178,-0.07430672352392141,0.20248337025381657,0.29652894574614364,0.6,0.1740026545730068,0.8021201413427562,0.9,0.40636321254560037,False,high
max_drawdown_20d,5,2020,0.9882583170254403,0.011741682974559686,-0.016698201982042884,-0.016767951379716848,-0.04705632687175023,0.14009424250309963,-0.33589051220794525,0.2095993922464606,0.5581127344301675,0.09999999999999999,0.2379200647448153,0.8705376344086021,0.9,0.40224413771255424,False,high
ret_1d,5,2038,0.99706457925636,0.0029354207436399493,-0.016012080438671267,-0.01648129623553998,-0.02919398281122501,0.05459132554625902,-0.5347732907948337,0.20601620294424974,0.8333333333333333,0.3,0.0,0.38182498130142106,0.9,0.40165402568008374,False,medium
log_ret_20d,5,2019,0.9877690802348337,0.012230919765166326,-0.003356550417891616,0.010953957437466971,-0.05426533173725134,0.09832282070780611,-0.5519098348339296,0.13692446796833713,0.6666666666666666,0.49999999999999994,0.0,0.7588147036759191,0.7,0.3952921440914264,False,high
gap_abs,5,2038,0.99706457925636,0.0029354207436399493,-0.010292812746423465,0.02613721146560602,-0.006750722676206092,0.07377642172597916,-0.09150244100045496,0.32671514332007523,0.36928021877823275,0.09999999999999999,0.6370993018661102,0.41630988786952094,0.7,0.39406647081853774,False,high
ret_10d,5,2029,0.9926614481409002,0.007338551859099818,-0.0035685462075042826,-0.001724038108536668,-0.05888865872936867,0.07861450287910329,-0.7490813599614075,0.02155047635670835,0.8888888888888888,0.3,0.0,0.6806160026782725,0.9,0.3873045209526176,False,medium
log_ret_1d,5,2038,0.99706457925636,0.0029354207436399493,-0.01578547581705803,-0.01648129623553998,-0.02919398281122501,0.05459132554625902,-0.5347732907948337,0.20601620294424974,0.8333333333333333,0.3,0.0,0.38182498130142106,0.7,0.3816540256800837,False,medium
kdj_d,5,2031,0.9936399217221135,0.006360078277886538,0.0008255406343660685,-0.0020702973429944154,-0.05025284066231533,0.07726035131762601,-0.6504350524594463,0.025878716787430193,0.7777777777777778,0.19999999999999998,0.07674465668916075,0.8056215360253364,0.9,0.37539302269769237,False,high
dist_to_low_250d,5,1789,0.8752446183953033,0.12475538160469668,-0.019130539487524932,0.00873890311306402,-0.17405623424095112,0.1667046051637419,-1.0440997359970245,0.10923628891330024,0.5625,0.09999999999999999,0.2029636388537165,0.9046417759838546,0.9,0.37117961010043304,False,high
log_ret_10d,5,2029,0.9926614481409002,0.007338551859099818,0.0012950653382621255,-0.001724038108536668,-0.05888865872936867,0.07861450287910329,-0.7490813599614075,0.02155047635670835,0.8888888888888888,0.3,0.0,0.6806160026782725,0.7,0.36730452095261756,False,medium
rsi_14d,5,2025,0.9907045009784736,0.009295499021526377,0.00016786985047126455,-0.002734561272042764,-0.05408173382949693,0.08827685317905055,-0.6126377626964545,0.03418201590053455,0.8888888888888888,0.0,0.08799028761940009,0.7182300884955752,0.9,0.36305393454040574,False,high
vol_percentile_20d_252d,5,1768,0.8649706457925636,0.13502935420743645,0.014135603404818793,-0.010921573808831003,-0.012715822024949868,0.07570936326268012,-0.1679557385898391,0.13651967261038753,0.3554557385898391,0.39999999999999997,0.19389996584366687,0.8601941747572815,0.7,0.3571514618533623,False,high
boll_pos_20d,5,2020,0.9882583170254403,0.011741682974559686,0.01295531717673824,0.0011221849675900613,-0.05507990338316331,0.06209176264426153,-0.8870726331080208,0.014027312094875765,0.6666666666666666,0.39999999999999997,0.0,0.6787391012743125,0.9,0.35541543708922735,False,high
